School,Type,Year,Date,Time,City,State,City Type,Race,Killed,Injured,Victims,Longitude,Latitude
William H. Lemmel Middle School,Middle School,1983,01/28/1983,Unknown,Baltimore,Maryland,,Unknown,Unknown,Unknown,Unknown,,
West Ward School,High,1983,01/30/1983,11:40 AM,Coleman,Texas,,Unknown,Unknown,Unknown,Unknown,,
DeLand High School,High School,1983,01/31/1983,Unknown,DeLand,Florida,,Unknown,Unknown,Unknown,Unknown,,
Riverdale High School,High School,1983,02/01/1983,Unknown,Murfreesboro,Tennessee,,Unknown,Unknown,Unknown,Unknown,,
Albuquerque High School,High School,1983,02/02/1983,Unknown,Alburquerque,New Mexico,,Unknown,Unknown,Unknown,Unknown,,
Santa Maria InCornata-Santa Lucia School,Other,1983,03/31/1983,Unknown,Chicago,Illinois,,Unknown,Unknown,Unknown,Unknown,,
Beaumont High School,High School,1983,04/21/1983,11:00 AM,St. Louis,Missouri,,Unknown,Unknown,Unknown,Unknown,,
Brentwood High School,High School,1983,05/16/1983,12:45 PM,New York,New York,,Unknown,Unknown,Unknown,Unknown,,
Lake Highland High School,High School,1983,05/16/1983,Unknown,Dallas,Texas,,Unknown,Unknown,Unknown,Unknown,,
North Miami Senior High School,High School,1983,05/18/1983,2:30 PM,Miami,Florida,,Unknown,Unknown,Unknown,Unknown,,
Mansfield Senior High School,High School,1983,05/23/1983,8:05 AM,Mansfield,Ohio,,Unknown,Unknown,Unknown,Unknown,,
Greater Johnstown High School,High School,1983,05/26/1983,Unknown,Johnstown,Pennsylvania,,Unknown,Unknown,Unknown,Unknown,,
Henry Ford High School,High School,1983,09/12/1983,8:45 AM,Detroit,Michigan,,Unknown,Unknown,Unknown,Unknown,,
Manuel Dominguez High School,High School,1983,09/12/1983,Unknown,Compton,California,,Unknown,Unknown,Unknown,Unknown,,
Walbrook High School,High School,1983,09/21/1983,11:00 AM,Baltimore,Maryland,,Unknown,Unknown,Unknown,Unknown,,
Temple High School,High School,1983,09/30/1983,Unknown,Temple,Texas,,Unknown,Unknown,Unknown,Unknown,,
Compton High School,High School,1983,10/07/1983,Unknown,Los Angeles,California,,Unknown,Unknown,Unknown,Unknown,,
Carver Vocational-Technical Senior High,High,1983,10/22/1983,11:00 PM,Baltimore,Maryland,,Unknown,Unknown,Unknown,Unknown,,
Highland Park High School,High School,1983,11/08/1983,7:50 AM,Highland Park,Michigan,,Unknown,Unknown,Unknown,Unknown,,
James G. Blaine Elementary School,Elementary School,1983,11/17/1983,Unknown,Chicago,Illinois,,Unknown,Unknown,Unknown,Unknown,,
Harlem Park Junior High School,Middle School,1983,11/18/1983,1:25 PM,Baltimore,Maryland,,Unknown,Unknown,Unknown,Unknown,,
Crawfordsville High School,High School,1983,12/02/1983,11:50 AM,Crawfordsville,Indiana,,Unknown,Unknown,Unknown,Unknown,,
Boylan Central Catholic High School,High School,1983,12/16/1983,Unknown,Rockford,Illinois,,Unknown,Unknown,Unknown,Unknown,,
Lake Clifton Senior HIgh School,High School,1984,01/05/1984,3:30 PM,Baltimore,Maryland,,Unknown,Unknown,Unknown,Unknown,,
Central High School,High School,1984,02/06/1984,Unknown,Louisville,Kentucky,,Unknown,Unknown,Unknown,Unknown,,
Sharpstown High School,High School,1984,02/21/1984,Unknown,Houston,Texas,,Unknown,Unknown,Unknown,Unknown,,
49th Street Elementary School,Elementary School,1984,02/24/1984,2:23 PM,Los Angeles,California,,Unknown,Unknown,Unknown,Unknown,,
Clinton High School,High School,1984,04/05/1984,Unknown,Clinton,Louisiana,,Unknown,Unknown,Unknown,Unknown,,
Precious Blood School,K-12,1984,04/20/1984,Unknown,Detroit,Michigan,,Unknown,Unknown,Unknown,Unknown,,
Rose Hill Magnolia Elementary School,Elementary School,1984,04/26/1984,Unknown,Wallace,North Carolina,,Unknown,Unknown,Unknown,Unknown,,
C M Russell High School,High School,1984,05/15/1984,2:30 PM,Great Falls,Montana,,Unknown,Unknown,Unknown,Unknown,,
Booker T. Washington High School,High School,1984,05/17/1984,10:45 AM,Houston,Texas,,Unknown,Unknown,Unknown,Unknown,,
Southeast Polk High School,High School,1984,05/17/1984,10:45 AM,Pleasant Hill,Iowa,,Unknown,Unknown,Unknown,Unknown,,
Norco High School,High School,1984,05/18/1984,10:00 AM,Norco,California,,Unknown,Unknown,Unknown,Unknown,,
Cleveland Heights High School,High School,1984,05/22/1984,Unknown,Cleveland Heights,Ohio,,Unknown,Unknown,Unknown,Unknown,,
Mumford High School,High School,1984,07/10/1984,11:15 AM,Detroit,Michigan,,Unknown,Unknown,Unknown,Unknown,,
Booker T. Washington High School,High School,1984,08/31/1984,Unknown,Shreveport,Louisiana,,Unknown,Unknown,Unknown,Unknown,,
Millsap Elementary School,Elementary School,1984,09/28/1984,8:40 AM,Houston,Texas,,Unknown,Unknown,Unknown,Unknown,,
Richland High School,High School,1984,09/28/1984,Unknown,North Richland Hills,Texas,,Unknown,Unknown,Unknown,Unknown,,
Wyoming Area High School,High School,1984,10/21/1984,Unknown,Exeter,Pennsylvania,,Unknown,Unknown,Unknown,Unknown,,
Central High School,High School,1984,10/22/1984,1:25 PM,Detroit,Michigan,,Unknown,Unknown,Unknown,Unknown,,
Southeastern High School,High School,1984,10/24/1984,11:20 AM,Detroit,Michigan,,Unknown,Unknown,Unknown,Unknown,,
West Elementary School Bus,Elementary School,1984,10/24/1984,Unknown,Celina,Ohio,,Unknown,Unknown,Unknown,Unknown,,
Pendleton High School,High School,1984,10/30/1984,12:45 PM,Pendleton,South Carolina,,Unknown,Unknown,Unknown,Unknown,,
East Ascension High School,High School,1984,10/31/1984,8:30 AM,Gonzales,Louisiana,,Unknown,Unknown,Unknown,Unknown,,
Wilbur Cross High School,High School,1984,11/09/1984,9:00 AM,New Haven,Connecticut,,Unknown,Unknown,Unknown,Unknown,,
Millford Mill High School,High School,1984,11/26/1984,12:45 PM,Rockdale,Maryland,,Unknown,Unknown,Unknown,Unknown,,
Edwardsville High School,High School,1984,12/07/1984,7:00 AM,St. Louis,Missouri,,Unknown,Unknown,Unknown,Unknown,,
Arlington High School,High School,1985,01/18/1985,Unknown,Arlington,Texas,,Unknown,Unknown,Unknown,Unknown,,
Goddard Junior High School,Middle School,1985,01/21/1985,11:05 AM,Goddard,Kansas,,Unknown,Unknown,Unknown,Unknown,,
St. Gregory's High School,High School,1985,01/26/1985,11:00 PM,Boston,Massachusetts,,Unknown,Unknown,Unknown,Unknown,,
A I Prince Technical High School,High School,1985,02/05/1985,2:30 PM,Hartford,Connecticut,,Unknown,Unknown,Unknown,Unknown,,
MacArthur Senior High School,High School,1985,04/16/1985,Unknown,Aldine,Texas,,Unknown,Unknown,Unknown,Unknown,,
South Pittsburg High School,High School,1985,04/18/1985,Unknown,South Pittsburg,Tennessee,,Unknown,Unknown,Unknown,Unknown,,
Parrott Junior High School,Middle School,1985,05/16/1985,8:00 AM,Brookville,Florida,,Unknown,Unknown,Unknown,Unknown,,
Highland Park High School,High School,1985,07/24/1985,9:30 AM,Highland Park,Texas,,Unknown,Unknown,Unknown,Unknown,,
East End Middle School (bus),Middle School,1985,09/04/1985,Unknown,Richmond,Virginia,,Unknown,Unknown,Unknown,Unknown,,
Wheatley High School,High School,1985,09/09/1985,Unknown,Houston,Texas,,Unknown,Unknown,Unknown,Unknown,,
Langham Creek High School,High School,1985,09/20/1985,12:20 PM,Cypress,Texas,,Unknown,Unknown,Unknown,Unknown,,
Trotwood-Madison Senior High,High,1985,09/25/1985,2:30 PM,Trotwood,Ohio,,Unknown,Unknown,Unknown,Unknown,,
Lake Clifton High School,High School,1985,10/08/1985,3:00 PM,Baltimore,Maryland,,Unknown,Unknown,Unknown,Unknown,,
Murray-Wright High School,High School,1985,10/18/1985,Unknown,Detroit,Michigan,,Unknown,Unknown,Unknown,Unknown,,
Southern Hills Joint Vocational High School,High School,1985,10/22/1985,Unknown,Georgetown,Ohio,,Unknown,Unknown,Unknown,Unknown,,
Spanaway Junior High School,Middle School,1985,11/26/1985,4:20 PM,Spanaway,Washington,,Unknown,Unknown,Unknown,Unknown,,
Chelsea School,High,1985,11/27/1985,3:00 PM,Birmingham,Alabama,,Unknown,Unknown,Unknown,Unknown,,
Concord High School,High School,1985,12/03/1985,8:05 AM,Concord,New Hampshire,,Unknown,Unknown,Unknown,Unknown,,
Archbishop Ryan High School,High School,1985,12/09/1985,Unknown,Philadelphia,Pennsylvania,,Unknown,Unknown,Unknown,Unknown,,
Portland Junior High School,Middle School,1985,12/10/1985,12:30 PM,Portland,Connecticut,,Unknown,Unknown,Unknown,Unknown,,
Northern High School,High School,1986,01/09/1986,4:00 PM,Durham,North Carolina,,Unknown,Unknown,Unknown,Unknown,,
Vanguard Junior High School,Middle School,1986,01/17/1986,Unknown,Los Angeles,California,,Unknown,Unknown,Unknown,Unknown,,
Lake Clifton High School,High School,1986,01/29/1986,Unknown,Baltimore,Maryland,,Unknown,Unknown,Unknown,Unknown,,
Boyet Junior High School,Middle School,1986,02/24/1986,Unknown,Slidell,Louisiana,,Unknown,Unknown,Unknown,Unknown,,
Thornridge High School,High School,1986,03/06/1986,Unknown,Dolton,Illinois,,Unknown,Unknown,Unknown,Unknown,,
Charles Drew Middle School,Middle School,1986,04/23/1986,8:30 AM,Miami,Florida,,Unknown,Unknown,Unknown,Unknown,,
Senath-Hornersville High School,High School,1986,04/29/1986,Unknown,Senath,Missouri,,Unknown,Unknown,Unknown,Unknown,,
Pine Forest High School,High School,1986,05/09/1986,9:30 AM,Fayetteville,North Carolina,,Unknown,Unknown,Unknown,Unknown,,
Carver High School,High School,1986,05/15/1986,Unknown,Atlanta,Georgia,,Unknown,Unknown,Unknown,Unknown,,
Cokeville Elementary School,Elementary School,1986,05/16/1986,1:30 PM,Cokeville,Wyoming,,Unknown,Unknown,Unknown,Unknown,,
Maplewood High School,High School,1986,05/17/1986,7:00 AM,Nashville,Tennessee,,Unknown,Unknown,Unknown,Unknown,,
Fairfax High School,High School,1986,09/12/1986,2:15 PM,Los Angeles,California,,Unknown,Unknown,Unknown,Unknown,,
Benicia High School ,High School,1986,09/18/1986,Unknown,Benicia,California,,Unknown,Unknown,Unknown,Unknown,,
Monrovia High School,High School,1986,10/03/1986,Unknown,Monrovia,California,,Unknown,Unknown,Unknown,Unknown,,
South Oak Cliff High School,High School,1986,10/08/1986,4:00 PM,Dallas,Texas,,Unknown,Unknown,Unknown,Unknown,,
Fergus High School,High School,1986,12/04/1986,Unknown,Lewistown,Montana,,Unknown,Unknown,Unknown,Unknown,,
Los Angeles High School,High School,1987,01/14/1987,Unknown,Los Angeles,California,,Unknown,Unknown,Unknown,Unknown,,
Redford High School,High School,1987,01/23/1987,8:05 AM,Detroit,Michigan,,Unknown,Unknown,Unknown,Unknown,,
Dardanelle High School,High School,1987,02/10/1987,12:30 PM,Dardanelle,Arkansas,,Unknown,Unknown,Unknown,Unknown,,
Orme School,Other,1987,02/13/1987,8:30 PM,Mayer,Arizona,,Unknown,Unknown,Unknown,Unknown,,
Mount Tom Country Day School,Other,1987,02/24/1987,8:30 AM,New Rochelle,New York,,Unknown,Unknown,Unknown,Unknown,,
Dekalb High School,High School,1987,03/02/1987,8:25 AM,De Kalb,Missouri,,Unknown,Unknown,Unknown,Unknown,,
Riverside High School,High School,1987,03/06/1987,Unknown,El Paso,Texas,,Unknown,Unknown,Unknown,Unknown,,
Panorama Elementary School,Elementary School,1987,03/30/1987,11:17 AM,Santa Ana,California,,Unknown,Unknown,Unknown,Unknown,,
Murray-Wright High School,High School,1987,04/16/1987,12:00 PM,Detroit,Michigan,,Unknown,Unknown,Unknown,Unknown,,
Grant High School,High School,1987,04/30/1987,2:15 PM,Portland,Oregon,,Unknown,Unknown,Unknown,Unknown,,
Pike Township High School,High School,1987,05/03/1987,11:30 AM,Indianapolis,Indiana,,Unknown,Unknown,Unknown,Unknown,,
Leto High School,High School,1987,05/06/1987,9:20 AM,Tampa,Florida,,Unknown,Unknown,Unknown,Unknown,,
MacAuthur Junior High,Middle School,1987,05/06/1987,Unknown,Jonesboro,Arkansas,,Unknown,Unknown,Unknown,Unknown,,
Oak Lawn Community High School,High School,1987,05/13/1987,Unknown,Oak Lawn,Illinois,,Unknown,Unknown,Unknown,Unknown,,
Illiana Christian High School,High School,1987,09/28/1987,Unknown,Lansing,Illinois,,Unknown,Unknown,Unknown,Unknown,,
DuSable High School,High School,1987,10/14/1987,8:00 AM,Chicago,Illinois,,Unknown,Unknown,Unknown,Unknown,,
Southwood Elementary School,Elementary School,1987,10/30/1987,9:00 PM,Kingston,North Carolina,,Unknown,Unknown,Unknown,Unknown,,
Andrews High School,High School,1987,10/31/1987,20:00:00,Andrews,South Carolina,,Unknown,Unknown,Unknown,Unknown,,
Southwestern High School,High School,1987,11/04/1987,10:50 AM,Detroit,Michigan,,Unknown,Unknown,Unknown,Unknown,,
Clearwater High School,High School,1987,11/14/1987,Unknown,Clearwater,Florida,,Unknown,Unknown,Unknown,Unknown,,
Perales Elementary School,Elementary School,1987,11/30/1987,3:50 PM,San Antonio,Texas,,Unknown,Unknown,Unknown,Unknown,,
Englewood High School,High School,1987,12/02/1987,Unknown,Jacksonville,Florida,,Unknown,Unknown,Unknown,Unknown,,
East New York High School of Transit Technology,High School,1987,12/04/1987,12:55 PM,New York,New York,,Unknown,Unknown,Unknown,Unknown,,
Grady Vocational-Technical School,High,1987,12/15/1987,9:45 AM,Brighton Beach,New York,,Unknown,Unknown,Unknown,Unknown,,
Mayde Creek High School,High School,1987,12/16/1987,10:00 AM,Katy,Texas,,Unknown,Unknown,Unknown,Unknown,,
Springfield High School,High School,1988,01/05/1988,9:00 PM,Springfield,Pennsylvania,,Unknown,Unknown,Unknown,Unknown,,
Gaither High School,High School,1988,01/06/1988,11:00 AM,Tampa,Florida,,Unknown,Unknown,Unknown,Unknown,,
Crawford County Joint Vocational Technical School,High,1988,01/08/1988,8:45 AM,Meadville,Pennsylvania,,Unknown,Unknown,Unknown,Unknown,,
Simsboro High School,High School,1988,01/20/1988,8:00 AM,Ruston,Louisiana,,Unknown,Unknown,Unknown,Unknown,,
Reagan High School,High School,1988,01/29/1988,8:45 PM,Austin,Texas,,Unknown,Unknown,Unknown,Unknown,,
West End Christian Elementary School,Elementary School,1988,02/02/1988,8:40 AM,Tuscaloosa,Alabama,,Unknown,Unknown,Unknown,Unknown,,
Pinellas Park High School,High School,1988,02/11/1988,Unknown,Largo,Florida,,Unknown,Unknown,Unknown,Unknown,,
Bristol High School,High School,1988,02/26/1988,11:51 AM,Bristol,Rhode Island,,Unknown,Unknown,Unknown,Unknown,,
Lessenger Junior High,Middle School,1988,03/04/1988,Unknown,Detroit,Michigan,,Unknown,Unknown,Unknown,Unknown,,
Cajon High School,High School,1988,03/23/1988,Unknown,San Bernadino,California,,Unknown,Unknown,Unknown,Unknown,,
Travis High School,High School,1988,03/24/1988,4:15 PM,Austin,Texas,,Unknown,Unknown,Unknown,Unknown,,
Martin Luther King High School,High School,1988,05/05/1988,Unknown,Chicago,Illinois,,Unknown,Unknown,Unknown,Unknown,,
Fort Myers Middle School,Middle School,1988,05/16/1988,3:43 PM,Fort Myers,Florida,,Unknown,Unknown,Unknown,Unknown,,
Hubbard Woods Elementary School,Elementary School,1988,05/20/1988,9:00 AM,Winnetka,Illinois,,Unknown,Unknown,Unknown,Unknown,,
Public School 67,Elementary,1988,05/31/1988,Unknown,Bronx,New York,,Unknown,Unknown,Unknown,Unknown,,
Wingfield High School,High School,1988,06/02/1988,12:30 PM,Jackson,Mississippi,,Unknown,Unknown,Unknown,Unknown,,
Joy Middle School,Middle School,1988,06/17/1988,9:30 AM,Detroit,Michigan,,Unknown,Unknown,Unknown,Unknown,,
Aiea High School,High School,1988,06/30/1988,10:25 AM,Oahu,Hawaii,,Unknown,Unknown,Unknown,Unknown,,
Siefert Elementary School,Elementary School,1988,07/10/1988,7:45 PM,Milwaukee,Wisconsin,,Unknown,Unknown,Unknown,Unknown,,
Lanier High School,High School,1988,07/11/1988,10:43 AM,Jackson,Mississippi,,Unknown,Unknown,Unknown,Unknown,,
Central High School,High School,1988,08/31/1988,10:50 AM,Detroit,Michigan,,Unknown,Unknown,Unknown,Unknown,,
West Franklin Elementary School,Elementary School,1988,08/31/1988,10:00 PM,Anderson,South Carolina,,Unknown,Unknown,Unknown,Unknown,,
Garinger High School,High School,1988,09/02/1988,21:30:00,Charlotte,North Carolina,,Unknown,Unknown,Unknown,Unknown,,
Glen Hills High School,High School,1988,09/02/1988,22:55:00,Augusta,Georgia,,Unknown,Unknown,Unknown,Unknown,,
Lincoln High School,High School,1988,09/03/1988,Unknown,Dallas,Texas,,Unknown,Unknown,Unknown,Unknown,,
Moses Montefoire Public School,Elementary,1988,09/22/1988,10:00 AM,Chicago,Illinois,,Unknown,Unknown,Unknown,Unknown,,
Oakland Elementary School,Elementary School,1988,09/26/1988,11:30:00,Greenwood,South Carolina,,Unknown,Unknown,Unknown,Unknown,,
Mascotte Elementary School ,Elementary School,1988,10/03/1988,11:00 AM,Mascotte,Florida,,Unknown,Unknown,Unknown,Unknown,,
Istrouma Senior High School,High School,1988,10/04/1988,Unknown,Baton Rouge,Louisiana,,Unknown,Unknown,Unknown,Unknown,,
J E B Stuart Junior High School (bus),Middle School,1988,10/04/1988,Unknown,Jacksonville,Florida,,Unknown,Unknown,Unknown,Unknown,,
Edmondson Westside Senior High School,High School,1988,10/05/1988,12:00 PM,Baltimore,Maryland,,Unknown,Unknown,Unknown,Unknown,,
Most Pure Heart of Mary School,Elementary,1988,10/06/1988,Unknown,Mobile,Alabama,,Unknown,Unknown,Unknown,Unknown,,
Dick Dowling Elementary School,Elementary School,1988,10/07/1988,8:20 AM,Port Arthur,Texas,,Unknown,Unknown,Unknown,Unknown,,
Southwestern Senior High School,High School,1988,10/07/1988,Unknown,Baltimore,Maryland,,Unknown,Unknown,Unknown,Unknown,,
Paxon High School,High School,1988,11/01/1988,Unknown,Jacksonville,Florida,,Unknown,Unknown,Unknown,Unknown,,
Glendale Intermediate School,Middle,1988,11/07/1988,Unknown,Salt Lake City,Utah,,Unknown,Unknown,Unknown,Unknown,,
Abilene Cooper High School,High School,1988,11/22/1988,Unknown,Abilene,Texas,,Unknown,Unknown,Unknown,Unknown,,
Atlantic Shores Christian School,K-12,1988,12/16/1988,10:30 AM,Virginia Beach,Virginia,,Unknown,Unknown,Unknown,Unknown,,
Henderson Junior High School,Middle School,1989,01/05/1989,8:00 AM,Little Rock,Arkansas,,Unknown,Unknown,Unknown,Unknown,,
Cleveland Elementary School,Elementary School,1989,01/17/1989,11:59 AM,Stockton,California,,Unknown,Unknown,Unknown,Unknown,,
Woodrow Wilson HIgh School,High School,1989,01/26/1989,2:25 PM,Washington,DC,,Unknown,Unknown,Unknown,Unknown,,
Rigby Junior High School,Middle School,1989,02/09/1989,11:00:00,Rigby,Idaho,,Unknown,Unknown,Unknown,Unknown,,
Thomas Jefferson Junior High School,Middle School,1989,02/10/1989,Unknown,Kearns,Utah,,Unknown,Unknown,Unknown,Unknown,,
Wirt High School,High School,1989,03/03/1989,12:09 PM,Gary,Indiana,,Unknown,Unknown,Unknown,Unknown,,
A Maceo Smith High School,High School,1989,04/26/1989,Unknown,Dallas,Texas,,Unknown,Unknown,Unknown,Unknown,,
Salem High School,High School,1989,09/01/1989,21:00:00,Virginia Beach,Virginia,,Unknown,Unknown,Unknown,Unknown,,
Dysart High School,High School,1989,09/11/1989,7:30 AM,El Mirage,Arizona,,Unknown,Unknown,Unknown,Unknown,,
Jackson County High School,High School,1989,09/18/1989,Unknown,McKee,Kentucky,,Unknown,Unknown,Unknown,Unknown,,
Loara High School,High School,1989,10/05/1989,9:30 AM,Anaheim,California,,Unknown,Unknown,Unknown,Unknown,,
Oliver Wendell Holmes Middle School,Middle School,1989,10/31/1989,Unknown,Dallas,Texas,,Unknown,Unknown,Unknown,Unknown,,
Alfred E. Smith High School,High School,1989,11/13/1989,Unknown,New York,New York,,Unknown,Unknown,Unknown,Unknown,,
Workman Junior High School,Middle School,1989,11/15/1989,3:45 PM,Arlington,Texas,,Unknown,Unknown,Unknown,Unknown,,
Channel Islands High School,High School,1989,11/22/1989,3:00 PM,Oxnard,California,,Unknown,Unknown,Unknown,Unknown,,
Caddo Magnet High School,High School,1989,12/04/1989,Unknown,Shreveport,Louisiana,,Unknown,Unknown,Unknown,Unknown,,
Serra Catholic High School bus,High School,1989,12/05/1989,Unknown,McKeesport,Pennsylvania,,Unknown,Unknown,Unknown,Unknown,,
W W Samuell High School,High School,1989,12/05/1989,8:20 AM,Dallas,Texas,,Unknown,Unknown,Unknown,Unknown,,
Chester High School,High School,1989,12/12/1989,Unknown,Chester,South Carolina,,Unknown,Unknown,Unknown,Unknown,,
