School,Race,Killed,Injured,Victims,Longitude,Latitude,Year,City,State,Weapon,Weapon Source,Age,Gender_Shooter1,Shooter_Relationship1,Type,Date,Time,Bullied,Domestic_Violence,Gang_Related,Preplanned,Quarter,Location
Central High School,Unknown,0,1,1,-83.11269,42.38469,2005,Detroit,Michigan,Unknown,Unknown,18.0,M,Unknown,High School,02/17/2009,2:20 PM,No,No,No,No,Winter,Hallway
Central High School,Unknown,0,2,2,-83.1115,42.3837,2009,Detroit,Michigan,Handgun,Unknown,17.0,M,Non-Student,High School,10/22/1984,1:25 PM,No,No,No,No,Fall,Hallway
Central High School,Unknown,0,2,2,-83.1115,42.3837,2009,Detroit,Michigan,Handgun,Unknown,17.0,M,Non-Student,High School,08/31/1988,10:50 AM,No,No,Yes,No,Summer,Hallway
Central High School,Unknown,0,2,2,-83.1115,42.3837,2009,Detroit,Michigan,Handgun,Unknown,17.0,M,Non-Student,High School,12/06/2005,1:30 PM,No,No,Unknown,No,Winter,Hallway
Central High School,Unknown,0,2,2,-83.1115,42.3837,2009,Detroit,Michigan,Handgun,Unknown,17.0,M,Non-Student,High School,02/17/2009,2:20 PM,No,No,No,No,Winter,Hallway
Milwee Middle School,W,1,0,1,-81.34669,28.68172,2006,Longwood,Florida,High-Powered Rifle,Police Issued,Unknown,M,Swat Officer,Middle School,01/13/2006,9:30 AM,No,No,No,No,Winter,Classroom
Indian River High School,Unknown,0,0,0,-76.24185,36.79721,2006,Chesapeake,Virginia,Unknown,Unknown,19.0,M,Unknown,High School,01/18/2006,11:00 AM,No,No,No,No,Winter,Cafeteria
Will C. Wood High School,Unknown,0,1,1,-121.97421,38.34635,2006,Vacaville,California,Small Revolver,Unknown,14.0,M,Student,High School,01/23/2006,9:45 AM,No,No,No,No,Winter,Gym
Lakeview Centennial High School,Unknown,0,2,2,-96.57589,32.85566,2006,Garland,Texas,Small-Caliber Semiautomatic Handgun,Unknown,16.0,M,Student,High School,10/14/1997,Unknown,No,No,No,No,Fall,Bathroom
Lakeview Centennial High School,Unknown,0,2,2,-96.57589,32.85566,2006,Garland,Texas,Small-Caliber Semiautomatic Handgun,Unknown,16.0,M,Student,High School,01/27/2006,Unknown,No,No,No,No,Winter,Classroom
Westinghouse High School,Unknown,0,1,1,-79.90059,40.4607,2006,Pittsburgh,Pennsylvania,Ak-47,Unknown,23.0,M,Unknown,High School,02/21/2006,7:45 AM,No,No,Unknown,No,Winter,Front of School
Roseburg High School,W,0,1,1,-123.34712,43.208,2006,Roseburg,Oregon,Large-Caliber Handgun With Hollow-Point Bullets,Unknown,14.0,M,Student,High School,02/23/2006,7:45 AM,Yes,No,No,No,Winter,Hallway
Pine Middle School,W,0,2,2,-119.78186,39.47981,2006,Reno,Nevada,.38-Caliber Pistol,Father,14.0,M,Student,Middle School,03/14/2006,9:00 AM,Yes,No,No,Yes,Spring,Classroom
Venice High School,B,1,0,1,-118.44282,33.99881,2006,Los Angeles,California,Handgun,Unknown,21.0,M,Unknown,High School,05/29/1992,Unknown,No,No,Yes,No,Spring,Front of School
Venice High School,B,1,0,1,-118.44282,33.99881,2006,Los Angeles,California,Handgun,Unknown,21.0,M,Unknown,High School,06/05/2006,3:10 PM,No,No,Yes,No,Summer,Parking Lot
Orange High School,H,0,2,2,-79.09337,36.09233,2006,Hillsborough,North Carolina,"9 Mm Rifle, A Mossburg 12-Gauge Sawed-Off Shotgun",Unknown,19.0,M,Former Student,High School,08/30/2006,1:00 PM,No,No,No,Yes,Summer,Parking Lot
South Hills High School,Unknown,0,1,1,-97.36,32.65726,2006,Fort Worth,Texas,Handgun,Police Issued Weapon,Unknown,M,Resource Officer,High School,09/08/2006,1:20 PM,Unknown,Unknown,Unknown,Unknown,Fall,Field (General)
Platte Canyon High School,W,1,0,1,-105.64543,39.45566,2006,Bailey,Colorado,".40 S&W Caliber Glock 22 Pistol, Smith & Wesson .357-Caliber Revolver",Unknown,53.0,M,Unknown,High School,09/27/2006,11:40:00,No,No,No,No,Fall,Classroom
Weston High School,W,1,0,1,-90.19016,43.48211,2006,Cazenovia,Wisconsin,"Long-Barrel Shotgun, 22-Pistol",Father,15.0,M,Student,High School,09/29/2006,8:10 AM,Yes,No,No,Yes,Fall,Entryway
Memorial Middle School,W,0,0,0,-94.51586,37.08277,2006,Joplin,Missouri,Mac 90 7.26 Mm Assault Rifle,Parent,13.0,M,Student,Middle School,10/09/2006,7:45 AM,No,No,No,Yes,Fall,Hallway
Henry Foss High School,Unknown,1,0,1,-122.49364,47.24114,2007,Tacoma,Washington,Handgun,Unknown,18.0,M,Student,High School,01/03/2007,7:30 AM,No,No,No,No,Winter,Hallway
Robert A. Taft Information Technology High School,Unknown,0,0,0,-84.52183,39.10911,2007,Cincinnati,Ohio,Unknown,Unknown,16.0,M,Student,High School,01/08/2007,10:45 AM,Unknown,No,No,No,Winter,Hallway
William L.Sayre High School,Unknown,0,1,1,-75.2374,39.95793,2007,Philadelphia,Pennsylvania,9 Mm Semi-Automatic Ruger,Unknown,Unknown,M,Unknown,High School,01/18/2007,8:25 AM,No,No,No,No,Winter,Beside Building
Herbert Henry Dow High School,W,0,1,1,-84.27414,43.64091,2007,Midland,Michigan,.44 Caliber Handgun,Unknown,17.0,M,Girlfriend Was Student,High School,03/07/2007,10:57 AM,No,Yes,No,No,Spring,Parking Lot
Chicago Vocational Career Academy,Unknown,0,1,1,-87.57236,41.7372,2007,Chicago,Illinois,9Mm Handgun,Unknown,15.0,M,Student,Other,04/10/2007,2:15 PM,No,No,No,No,Spring,Classroom
Springwater Trail High School,Unknown,0,10,10,-122.40894,45.48655,2007,Gresham,Oregon,.270 Winchester Rifle With Scope,Stepfather,15.0,M,Student,High School,04/10/2007,2:15 PM,No,No,No,Yes,Spring,Classroom; Field
Liberty Memorial Middle School,Unknown,0,0,0,-97.5108,26.1106,2007,Los Fresnos,Texas,.38 Semiautomatic Handgun,Father,14.0,M,Student,Middle School,05/15/2007,10:02 AM,Unknown,No,No,No,Spring,Bathroom
Hamilton High School,Unknown,0,1,1,-90.0174,35.10069,2008,Memphis,Tennessee,380-Caliber Handgun,Unknown,16.0,M,Student,High School,02/05/1982,Unknown,No,No,No,No,Winter,Gym
Hamilton High School,Unknown,0,1,1,-90.0174,35.10069,2008,Memphis,Tennessee,380-Caliber Handgun,Unknown,16.0,M,Student,High School,08/24/2004,Unknown,No,No,No,No,Summer,Hallway
Hamilton High School,Unknown,0,1,1,-90.0174,35.10069,2008,Memphis,Tennessee,380-Caliber Handgun,Unknown,16.0,M,Student,High School,02/04/2008,10:00 AM,No,No,No,No,Winter,Classroom
Hamilton High School,Unknown,0,1,1,-90.0174,35.10069,2008,Memphis,Tennessee,380-Caliber Handgun,Unknown,16.0,M,Student,High School,08/16/2012,5:00 PM,No,No,Yes,No,Summer,Front of School
Mitchell High School,Unknown,0,1,1,-90.08589,35.05595,2008,Memphis,Tennessee,.22-Caliber Pistol,Purchased From Someone In Apartment Complex,17.0,M,Student,High School,02/11/2008,9:00 AM,Unknown,No,No,No,Winter,Classroom
Roosevelt High School,Unknown,1,0,1,-119.7537,36.74302,2008,Fresno,California,Pistol,Department Issued,38.0,M,Resource Officer,High School,04/16/2008,11:54 AM,Unknown,Unknown,Unknown,Unknown,Spring,Outside on School Property
Central High School,Unknown,1,0,1,-83.9216,36.0392,2008,Knoxville,Tennessee,"Small-Caliber, Semiautomatic Pistol",Unknown,15.0,M,Student,High School,08/21/2008,08:11:00,Yes,No,No,Yes,Fall,Cafeteria
Dillard High School,B,1,0,1,-80.176,26.1383,2008,Fort Lauderdale,Florida,.22-Caliber Semi-Automatic Handgun,Family Member,15.0,F,Student,High School,03/28/1981,9:00 PM,No,No,No,No,Spring,Beside Building
Dillard High School,B,1,0,1,-80.176,26.1383,2008,Fort Lauderdale,Florida,.22-Caliber Semi-Automatic Handgun,Family Member,15.0,F,Student,High School,11/12/2008,11:00 AM,No,Yes,No,No,Fall,Classroom
