School,Type,Date,City,State,Time
O Rourke Elementary School,Elementary,2020-05-25,Mobile,AL,1:30 AM
Luis Munoz Marin Middle School,Middle,2020-05-27,Cleveland,OH,11:30 PM
Garfield Elementary School,Elementary,2020-06-03,Davenport,IA,12:55 PM
Touissant Louverture Elementary School,Elementary,2020-06-16,Miami,FL,11:15 PM
Joyce Kilmer School 69,Elementary,2020-06-18,Indianapolis,IN,1:30 AM
Columbus East High School,High,2020-06-21,Columbus,IN,5:30 AM
Halifax County Middle School,Middle,2020-06-27,South Boston,VA,10:00 PM
Lakota Career Readiness Academy,K-12,2020-06-30,West Chester Township,OH,
Frost Elementary School,Elementary,2020-07-01,Prospect Heights,IL,4:35 PM
Lake Hills Elementary School,Elementary,2020-07-04,Michigan City,IN,
Willow Woods Elementary School,Elementary,2020-07-14,Detroit,MI,
Brookdale Elementary School,Elementary,2020-07-21,Orangeburg,SC,9:00 PM
Canyon del Oro High School,High,2020-07-27,Oro Valley,AZ,16:00:00
Collinsville High School,High,2020-07-29,Collinsville,IL,21:14:00
Kelly Elementary School,Elementary,2020-08-04,Pittsburg,PA,12:15:00
Aberdeen K-8 School,K-8,2020-08-17,Grand Rapids,MI,16:30:00
West Middle School,Middle,2020-08-25,Columbia,MO,03:30:00
L.O. Donald Leadership Academy,Elementary,2020-08-30,Dallas,TX,22:00:00
Dougherty Comprehensive High School,High,2020-09-03,Albany,GA,08:15:00
Lone Star Elementary School,Elementary,2020-09-03,Jacksonville,FL,23:45:00
Southmayd Elementary School,Elementary,2020-09-09,Houston,TX,21:50:00
West Bradford Elementary School,Elementary,2020-09-09,West Bradford Township,PA,18:35:00
Saint Francis DeSales High School,High,2020-09-10,Columbus,OH,15:45:00
Peoria Public Schools Bus,,2020-09-14,Peoria,IL,13:45:00
Artondale Elementary School,Elementary,2020-09-15,Gig Harbor,WA,08:30:00
Viewmont High School,High,2020-09-15,Bountiful,UT,22:27:00
York County School Bus,,2020-09-15,Rock Hill,SC,14:45:00
Sonora High School,High,2020-09-16,Sonora,CA,23:46:00
Dr. Martin Luther King Jr. Elementary School,Elementary,2020-09-17,Portland,OR,21:37:00
Ellet High School,High,2020-09-17,Akron,OH,20:00:00
Winburn Middle School,Middle,2020-09-18,Lexington,KY,20:30:00
Krouzian Zekarian Vasbouragan Armenian School,K-8,2020-09-19,San Francisco,CA,14:25:00
Liberty Elementary School,Elementary,2020-09-20,Salt Lake City,UT,16:00:00
Pleasant Hill Elementary School,Elementary,2020-09-21,Pleasant Hill,CA,
Highlands Middle School,Middle,2020-09-23,Jacksonville,FL,16:30:00
William Tennent High School,High,2020-09-23,Warminster,PA,16:55:00
McClernand Elementary School,Elementary,2020-09-24,Springfield,IL,12:33:00
Walt Hanline Middle School,Middle,2020-09-24,Ceres,CA,
Haledon Public School,K-8,2020-09-25,Haledon,NJ,19:08:00
Rock Island Academy,Elementary,2020-09-25,Rock Island,IL,23:00:00
East Rock Community Magnet School,K-8,2020-09-28,New Haven,CT,06:13:00
Dymally High School,High,2020-09-30,Los Angeles,CA,
Marple-Newtown School Bus,,2020-10-02,Exton,PA,
Adam’s Elementary School,Elementary,2020-10-04,Lincoln,NE,
KIPP Delta Elementary School,Elementary,2020-10-05,West Helena,AR,15:00:00
Southridge Junior High,High,2020-10-05,Moore,OK,
Jean Ribault High School,High,2020-10-09,Jacksonville,FL,14:00:00
North Dallas High School,High,2020-10-12,Dallas,TX,
Shakopee High School,High,2020-10-12,Shakopee,MN,17:30:00
Rhode Island School for the Deaf ,K-12,2020-10-13,Providence,RI,16:30:00
Bradford Area School District,,2020-10-14,Bradford,PA,
Washington Elementary School,Elementary,2020-10-14,Sunnyside,WA,10:40:00
Seneca High School,High,2020-10-18,Louisville,KY,13:26:00
Jack Robey Junior High School,Junior High,2020-10-20,Pine Bluff,AR,21:15:00
Stillwater Elementary School,Elementary,2020-10-24,Stamford,CT,23:36:00
Riverdale High School,High,2020-10-26,Riverdale,GA,17:22:00
Rochester Prep Charter School,K-12,2020-10-28,Rochester,NY,17:00:00
Lawton Chiles Middle School,Middle,2020-10-29,Miramar,FL,23:15:00
Erie High School,High,2020-11-02,Erie,CO,00:05:00
Khalsa Montessori Charter,Elementary,2020-11-06,Tuscon,AZ,10:00:00
Terre Haute South Vigo High School,High,2020-11-08,Terre Haute,IN,16:39:00
Baldwin Elementary School,Elementary,2020-11-09,La Puente,CA,
Collins Elementary School,Elementary,2020-11-09,Houston,TX,
Cesar Chavez Middle School,Middle,2020-11-12,Union City,CA,17:35:00
Nativity School of Harrisburg,Middle,2020-11-12,Harrisburg,PA,17:30:00
Lincoln Elementary School,Elementary,2020-11-13,Leland,NC,14:15:00
Winridge Elementary School,Elementary,2020-11-16,Memphis,TN,
