Incident_ID,Date,Quarter,School,City,State,School_Level,Location,During_School,Time_Period,First_Shot,Bullied,Domestic_Violence,Gang_Related,Preplanned
19980501NYPUB,1998-05-01,Spring,Public School 18,Buffalo,NY,Elementary,Office,Yes,Morning Classes,9:20 AM,No,Yes,No,No
19980519TNLIF,1998-05-19,Spring,Lincoln County High School,Fayetteville,TN,High,Beside Building,Yes,Dismissal,2:00 PM,No,Yes,No,No
19980521WAONO,1998-05-21,Spring,Onalaska High School,Onalaska,WA,High,School Bus,No,Before School,,No,Yes,No,No
19980521CARIR,1998-05-21,Spring,Rialta High School,Rialto,CA,High,Courtyard,Yes,School Start,,Yes,No,No,No
19980521ORTHS,1998-05-21,Spring,Thurston High School,Springfield,OR,High,Cafeteria,Yes,Before School,7:50 AM,No,No,No,Yes
19980527CAWAP,1998-05-27,Spring,Washington Middle School,Pasadena,CA,Middle,Beside Building,No,Evening,6:15 PM,No,No,Yes,No
19980529FLSTF,1998-05-29,Spring,Stranahan High School,Ft. Lauderdale,FL,High,Parking Lot,Yes,School Start,7:32 AM,No,Yes,No,No
19980615VAARR,1998-06-15,Summer,Armstrong High School,Richmond,VA,High,Hallway,Yes,Morning Classes,10:00 AM,,No,Yes,No
19980911CAHEG,1998-09-11,Fall,Herbert Hoover High School,Glendale,CA,High,Parking Lot,No,After School,,No,No,Yes,No
19980930FLLEL,1998-09-30,Fall,Leesburg High School,Leesburg,FL,High,Outside on School Property,Yes,,,No,No,No,No
19980930FLNOM,1998-09-30,Fall,North Miami High School,Miami,FL,High,Hallway,Yes,Lunch,12:32 PM,No,No,Yes,No
19981103PAMAP,1998-11-03,Fall,Martin Luther King High School,Philadelphia,PA,High,Beside Building,Yes,Dismissal,1:45 PM,No,No,No,No
19981130NYHAH,1998-11-30,Fall,Hancock Middle High School,Hancock,NY,Middle,Bathroom,Yes,Morning Classes,9:20 AM,,,No,No
19981203INERG,1998-12-03,Winter,Ernie Elementary School,Gary,IN,Elementary,Gym,No,Evening,,No,No,No,No
19981211INBEI,1998-12-11,Winter,Ben Davis Junior High School,Indianapolis,IN,Junior High,School Bus,Yes,After School,,No,No,No,No
19990108GACEC,1999-01-08,Winter,Central High School,Carrollton,GA,High,Bathroom,Yes,Morning Classes,null,No,Yes,No,No
19990114NYHAN,1999-01-14,Winter,Harry S. Truman High School,New York,NY,High,Front of School,Yes,Morning Classes,9:00 AM,No,No,No,No
19990121TXRIN,1999-01-21,Winter,Richland High School,North Richland Hills,TX,High,Bathroom,Yes,Morning Classes,,,No,No,No
19990211MSJEP,1999-02-11,Winter,Jefferson-Todd Educational Center,Purvis,MS,Other,Office,Yes,,,No,No,No,No
19990211ILOME,1999-02-11,Winter,Ombudsman Educational Service Center,Elgin,IL,High,Classroom,Yes,Afternoon Classes,12:30 PM,No,No,Yes,No
19990304ILNIS,1999-03-04,Spring,Niles West High School,Skokie,IL,High,Gym,No,Sport Event,10:00 PM,No,Yes,No,No
19990416IDNON,1999-04-16,Spring,Notus Jr. Sr. High School,Notus,ID,6-12,Gym,Yes,Unknown,,No,No,No,No
19990420COCOL,1999-04-20,Spring,Columbine High School,Littleton,CO,High,Cafeteria,Yes,Morning Classes,11:19 AM,Yes,No,No,Yes
19990422GAMAA,1999-04-22,Spring,Martin Luther King Jr. Middle School,Atlanta,GA,Middle,Parking Lot,No,Evening,9:45 PM,No,No,No,No
